Rank,NOC,Gold,Silver,Bronze,Total
1,Russia (RUS),123,64,86,273
2,Belarus (BLR),33,27,51,111
3,Azerbaijan (AZE),26,25,33,84
4,Ukraine (UKR),24,31,43,98
5,Great Britain (GBR),24,20,26,70
6,Italy (ITA),23,41,24,88
7,Germany (GER),23,23,46,92
8,France (FRA),18,22,31,71
9,Netherlands (NED),17,25,16,58
10,Spain (ESP),13,13,17,43
11,Hungary (HUN),11,10,17,38
12,Switzerland (SUI),10,7,8,25
13,Georgia (GEO),9,15,22,46
14,Serbia (SRB),9,6,7,22
15,Turkey (TUR),8,10,26,44
16,Belgium (BEL),8,5,4,17
17,Denmark (DEN),7,5,8,20
18,Portugal (POR),6,10,9,25
19,Poland (POL),5,9,20,34
20,Romania (ROU),5,8,9,22
21,Israel (ISR),5,7,7,19
22,Armenia (ARM),5,4,3,12
23,Sweden (SWE),5,3,7,15
24,Slovenia (SLO),5,2,4,11
25,Bulgaria (BUL),4,11,13,28
26,Austria (AUT),4,8,8,20
27,Greece (GRE),4,6,8,18
28,Lithuania (LTU),4,2,4,10
29,Croatia (CRO),3,5,11,19
30,Ireland (IRL),3,3,7,13
31,Latvia (LAT),3,3,4,10
32,Czech Republic (CZE),2,7,11,20
33,Finland (FIN),2,0,2,4
34,Slovakia (SVK),1,4,6,11
35,Kosovo (KOS),1,1,2,4
36,Estonia (EST),0,3,5,8
37,Moldova (MDA),0,2,6,8
38,Cyprus (CYP),0,2,0,2
39,Luxembourg (LUX),0,1,2,3
39,San Marino (SMR),0,1,2,3
41,Montenegro (MNE),0,1,1,2
42,Bosnia and Herzegovina (BIH),0,1,0,1
43,Norway (NOR),0,0,4,4
44,North Macedonia (MKD),0,0,2,2
Totals (44 entries),Totals (44 entries),453,453,622,1528
